stage_index,stage_slug,human_notation,layer,role,relative_path,sha256,bytes,scope_note
1,source_field,"I_0(x,y)",base,numeric visual source,01_workflow_stages/01_source_field/00_base.png,b596f08b15e89c9d1b57b1da01959a650d5d7e6fa08f2de8754019b424d2b976,477369,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
1,source_field,"I_0(x,y)",visible,high visibility embedding,01_workflow_stages/01_source_field/01_visible.png,89288e14231b1ada718d09173147764bb3311d6e7efdb84707b0b0c22b38ffd2,483113,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
1,source_field,"I_0(x,y)",balanced,balanced embedding,01_workflow_stages/01_source_field/02_balanced.png,548dad1b078ec9308fe6a8a8a93b1a4b5d38f038c0c9719971a45150ba275f86,482270,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
1,source_field,"I_0(x,y)",structural,base-preserving structural embedding,01_workflow_stages/01_source_field/03_structural.png,eb528af127666ea53cf6ee406418ed9f9c5b9d18b7e0d71a0dc296dbcb617d7c,480486,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
1,source_field,"I_0(x,y)",mask,human-symbol structural mask,01_workflow_stages/01_source_field/04_mask.png,08c925cc0989a0fd6fe8ef4a8e3a7fbbe973af8d826009d2df7b75af3d34e539,33897,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
1,source_field,"I_0(x,y)",projection,temporal projection map,01_workflow_stages/01_source_field/05_projection_map.png,a263cb93410be2d451e9c606579dccb7075e88ab78d3f2d2850bf0769b07384b,50440,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
1,source_field,"I_0(x,y)",motion,motion energy,01_workflow_stages/01_source_field/06_motion_energy.png,94077d7f985c38a18299948c7137a77356b3d41b23b5fd104febaa0a712ebe0e,58667,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
1,source_field,"I_0(x,y)",delta,temporal delta,01_workflow_stages/01_source_field/07_temporal_delta.png,0c54ddc7ab6a32e6ea0f39265037891f8bbb720278e36d9610a33b3663565160,63428,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
1,source_field,"I_0(x,y)",frames,eight-frame temporal sheet,01_workflow_stages/01_source_field/08_framesheet.png,0b9c27c5aa129ad3685cda65741ac709fd4200aa688d029bf7a3b0079aaea5b1,1242850,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
1,source_field,"I_0(x,y)",patch,numeric temporal training patch,01_workflow_stages/01_source_field/09_temporal_patch.mat,a9ff720cb91ef17aa2c232f7eb4368a29964ab82456e8d72a242a0fe9914da14,5331777,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
2,display_transform,I_A = T_A[I_0],base,numeric visual source,01_workflow_stages/02_display_transform/00_base.png,bdff0a282123823203646df0a893e9d92a508365f22db9fd94b9cf857c47929f,500248,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
2,display_transform,I_A = T_A[I_0],visible,high visibility embedding,01_workflow_stages/02_display_transform/01_visible.png,f2bfc42f1972b3b30eda5262e4c213a353dd2e38f35fb50aa9b3a51c78440cbe,506810,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
2,display_transform,I_A = T_A[I_0],balanced,balanced embedding,01_workflow_stages/02_display_transform/02_balanced.png,e460f3e90b6cefe9fc2d3b26ef1f849921b84cb180257acdb1ff671d1bf72311,505201,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
2,display_transform,I_A = T_A[I_0],structural,base-preserving structural embedding,01_workflow_stages/02_display_transform/03_structural.png,543475b6343b4e6ad27f981515e2d1bb7059d851f56bffbb97d4cebf1308de8f,503007,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
2,display_transform,I_A = T_A[I_0],mask,human-symbol structural mask,01_workflow_stages/02_display_transform/04_mask.png,1f0fc4ffa64354a93ec93a2ca4dad70c6f941a999ac1a69f81585149993ae5c7,38180,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
2,display_transform,I_A = T_A[I_0],projection,temporal projection map,01_workflow_stages/02_display_transform/05_projection_map.png,99341b9395234ad875d2d8300467cfdca2d6fbcd24ebdfb246dc773c9194ecbe,55348,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
2,display_transform,I_A = T_A[I_0],motion,motion energy,01_workflow_stages/02_display_transform/06_motion_energy.png,749bb50f7ec042e141f769d9a31677822a19ef4163d1fb5df5dfb144d883d89e,64060,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
2,display_transform,I_A = T_A[I_0],delta,temporal delta,01_workflow_stages/02_display_transform/07_temporal_delta.png,24a76a48f9176f453ed410ee3377a7653746ce2d60b0a24002cae8c98c3ac791,70250,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
2,display_transform,I_A = T_A[I_0],frames,eight-frame temporal sheet,01_workflow_stages/02_display_transform/08_framesheet.png,fc1a44619bb579d673b94a8c0ebfe7baae75eb8a14205201b7ac7c70e26a7d9f,1309876,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
2,display_transform,I_A = T_A[I_0],patch,numeric temporal training patch,01_workflow_stages/02_display_transform/09_temporal_patch.mat,bc041c6df4ea3ab1478e57abe1dfa21ccfe11fb6288a3a52c514642f0ee4cd3f,5540269,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
3,multiscale_field,G_{sigma_k} * I_0,base,numeric visual source,01_workflow_stages/03_multiscale_field/00_base.png,aa5a23f1b5016c5784bd1777d0e139f5a18b3dc33c4d61b00c8d581945c019a1,414365,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
3,multiscale_field,G_{sigma_k} * I_0,visible,high visibility embedding,01_workflow_stages/03_multiscale_field/01_visible.png,896e4ec56692e47909e0a81e7bf475fac2ae6d1347936991132af2bc5883e217,424237,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
3,multiscale_field,G_{sigma_k} * I_0,balanced,balanced embedding,01_workflow_stages/03_multiscale_field/02_balanced.png,911d207ec016a5997983435da7562b45df934be684f34ac3e04183a75ffde93d,422410,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
3,multiscale_field,G_{sigma_k} * I_0,structural,base-preserving structural embedding,01_workflow_stages/03_multiscale_field/03_structural.png,c467da70892340fc0708097d441e6ca3221338ede8c8079183cd34caad1b0a07,418770,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
3,multiscale_field,G_{sigma_k} * I_0,mask,human-symbol structural mask,01_workflow_stages/03_multiscale_field/04_mask.png,e907c1a75b3e0aabbd505d1837ed8113575e44cd95b34c49f65cd1a1baaa5cf9,36600,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
3,multiscale_field,G_{sigma_k} * I_0,projection,temporal projection map,01_workflow_stages/03_multiscale_field/05_projection_map.png,9b693fba7c7f21e06312f977629f4ac0e6ff6abe818c8dce5ab25cf83079065d,47011,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
3,multiscale_field,G_{sigma_k} * I_0,motion,motion energy,01_workflow_stages/03_multiscale_field/06_motion_energy.png,69ee625253d08f5cc5c2c51b1d8663768756d112f62c6a7057e98718fd5e2f29,57052,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
3,multiscale_field,G_{sigma_k} * I_0,delta,temporal delta,01_workflow_stages/03_multiscale_field/07_temporal_delta.png,ec48c2585f7609081e22edce4ab048c9a4459eab622f81877c5549a607e5dc92,61444,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
3,multiscale_field,G_{sigma_k} * I_0,frames,eight-frame temporal sheet,01_workflow_stages/03_multiscale_field/08_framesheet.png,6654e4fb4b60a3dc7753a6d60ab13e4aa20301d993eae1f4ac69baafbfe4b7d5,1120974,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
3,multiscale_field,G_{sigma_k} * I_0,patch,numeric temporal training patch,01_workflow_stages/03_multiscale_field/09_temporal_patch.mat,b1493ee87fe4477aa267728afda50e28db8766b173b913b12cf4ce07d3f4b275,5400671,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
4,gradient_field,nabla I_0,base,numeric visual source,01_workflow_stages/04_gradient_field/00_base.png,40254b73fe41b59bfdd305036f1fe6f0a8aeeee0bed77d66c8c406ee8bcc3496,482989,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
4,gradient_field,nabla I_0,visible,high visibility embedding,01_workflow_stages/04_gradient_field/01_visible.png,be6804125239cb7b59b61d4c6a60867f05ee603972d5bbe2292869f9b0888cbf,486753,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
4,gradient_field,nabla I_0,balanced,balanced embedding,01_workflow_stages/04_gradient_field/02_balanced.png,aa5e86609bff9955df72a0c78b512516710e2ebde4eb695cd13e063ddc392e27,486312,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
4,gradient_field,nabla I_0,structural,base-preserving structural embedding,01_workflow_stages/04_gradient_field/03_structural.png,a00d41bb17ce3cd177b91b77b5af5a2d91955fdbf58542a5e33956b93c461f1f,484927,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
4,gradient_field,nabla I_0,mask,human-symbol structural mask,01_workflow_stages/04_gradient_field/04_mask.png,fc24312bd7cadaf4cd24a4896e435d8d59609ffbecd82972f1f5327577365dcf,30884,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
4,gradient_field,nabla I_0,projection,temporal projection map,01_workflow_stages/04_gradient_field/05_projection_map.png,9377260dc7a0ed6f77e19f16e90a1a02f87a9d0dfd8cce0d395def8bbf59da0d,39120,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
4,gradient_field,nabla I_0,motion,motion energy,01_workflow_stages/04_gradient_field/06_motion_energy.png,207d1421add3bfcc86e6759cad67ecee5d529d0fd8c0a44b42d3c61f763f8129,49621,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
4,gradient_field,nabla I_0,delta,temporal delta,01_workflow_stages/04_gradient_field/07_temporal_delta.png,88050ba8d52c7617288b5507bcec4090f181483e93a266f7bc501642aa57a5ab,53420,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
4,gradient_field,nabla I_0,frames,eight-frame temporal sheet,01_workflow_stages/04_gradient_field/08_framesheet.png,ceeafc999e79cc94cdc044041cc955ae886cede63fa9f561d44cf480e8c186c4,1230530,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
