order,anchor_id,anchor_file,bilingual_title,companion_index,file_name,relative_file,level,formula,scope_label,definition,structural_tokens,token_xy_normalized_json,source_reference_ids,rendered_text,structural_notation,notation_mask_file,relation_mask_file,carrier_field_file
1,1,Photon.png,Photon / פוטון,1,01_transverse_electromagnetic_wave.png,01_particle_learning_triplets/01_photon/01_transverse_electromagnetic_wave.png,classical_field_bridge,"E perpendicular B perpendicular k; c = lambda nu","Classical electromagnetic-field representation; not a photon trajectory.","Propagation arrow k with mutually transverse electric and magnetic field oscillations.",E;perpendicular;B,"[[0.15,0.26],[0.31,0.2],[0.47,0.28]]",1;7,1,1,02_notation_masks/01_photon__01__notation_mask.png,02_notation_masks/01_photon__01__relation_mask.png,02_notation_masks/01_photon__01__carrier_field.png
2,1,Photon.png,Photon / פוטון,2,02_energy_momentum_wavelength.png,01_particle_learning_triplets/01_photon/02_energy_momentum_wavelength.png,foundational_quantum_relation,"E = h nu = h c / lambda; p = h / lambda; E = p c","Single-photon relations in vacuum.","Aligned wavelength and frequency states mapped to energy and momentum.",E;equals;p,"[[0.162,0.26],[0.322,0.2],[0.482,0.28]]",1;7,1,1,02_notation_masks/01_photon__02__notation_mask.png,02_notation_masks/01_photon__02__relation_mask.png,02_notation_masks/01_photon__02__carrier_field.png
3,2,Electron.png,Electron / אלקטרון,1,01_electric_force_and_acceleration.png,01_particle_learning_triplets/02_electron/01_electric_force_and_acceleration.png,classical_bridge,"F = q E; q = -e; a = F / m_e","Classical point-particle approximation.","A negative charge in a uniform electric field with force opposite the field direction.",F;equals;q,"[[0.174,0.26],[0.334,0.2],[0.494,0.28]]",1;7,1,1,02_notation_masks/02_electron__01__notation_mask.png,02_notation_masks/02_electron__01__relation_mask.png,02_notation_masks/02_electron__01__carrier_field.png
4,2,Electron.png,Electron / אלקטרון,2,02_lorentz_deflection.png,01_particle_learning_triplets/02_electron/02_lorentz_deflection.png,classical_relativistic_bridge,"F = q(E + v times B); r = p / (|q| B)","Uniform field and perpendicular-motion case for the radius relation.","An electron path bends in a uniform magnetic field with velocity, force, and curvature directions.",F;times;B,"[[0.186,0.26],[0.346,0.2],[0.506,0.28]]",1;7,1,1,02_notation_masks/02_electron__02__notation_mask.png,02_notation_masks/02_electron__02__relation_mask.png,02_notation_masks/02_electron__02__carrier_field.png
5,3,Neutrino.png,Neutrino / נייטרינו,1,01_neutrino_flavor_triplet.png,01_particle_learning_triplets/03_neutrino/01_neutrino_flavor_triplet.png,foundational_quantum_identity,"nu_e, nu_mu, nu_tau; q_nu = 0","Electrically neutral flavor states; not classical species paths.","Three linked flavor lanes represent electron, muon, and tau neutrino states.",nu;e;mu,"[[0.15,0.26],[0.31,0.2],[0.47,0.28]]",5,1,1,02_notation_masks/03_neutrino__01__notation_mask.png,02_notation_masks/03_neutrino__01__relation_mask.png,02_notation_masks/03_neutrino__01__carrier_field.png
6,3,Neutrino.png,Neutrino / נייטרינו,2,02_flavor_oscillation_baseline.png,01_particle_learning_triplets/03_neutrino/02_flavor_oscillation_baseline.png,quantum_only,"P(nu_alpha -> nu_beta) = sin^2(2 theta) sin^2(Delta m^2 L / (4 E))","Two-flavor vacuum approximation with natural units and alpha not equal to beta.","A baseline L connects source and detector while the flavor composition changes.",theta;arrow;E,"[[0.162,0.26],[0.322,0.2],[0.482,0.28]]",5,1,1,02_notation_masks/03_neutrino__02__notation_mask.png,02_notation_masks/03_neutrino__02__relation_mask.png,02_notation_masks/03_neutrino__02__carrier_field.png
7,4,Quarks.png,Quarks / קווארקים,1,01_quark_flavor_charge_pattern.png,01_particle_learning_triplets/04_quarks/01_quark_flavor_charge_pattern.png,foundational_quantum_identity,"u,c,t: +2e/3; d,s,b: -e/3","Electric charges; visual colors are labels, not literal QCD color.","Two structural rows encode repeated up-type and down-type fractional charges.",q;plus;e,"[[0.174,0.26],[0.334,0.2],[0.494,0.28]]",6,1,1,02_notation_masks/04_quarks__01__notation_mask.png,02_notation_masks/04_quarks__01__relation_mask.png,02_notation_masks/04_quarks__01__carrier_field.png
8,4,Quarks.png,Quarks / קווארקים,2,02_baryon_composition_and_charge.png,01_particle_learning_triplets/04_quarks/02_baryon_composition_and_charge.png,foundational_quantum_composition,"p = uud; n = udd; Q_p/e = 1; Q_n/e = 0","Valence-quark bookkeeping; sea quarks and gluons remain part of the physical description.","Two color-neutral triplets map valence composition to proton and neutron charge.",p;equals;q,"[[0.186,0.26],[0.346,0.2],[0.506,0.28]]",2;6,1,1,02_notation_masks/04_quarks__02__notation_mask.png,02_notation_masks/04_quarks__02__relation_mask.png,02_notation_masks/04_quarks__02__carrier_field.png
9,5,Gluon.png,Gluon / גלואון,1,01_color_charge_exchange.png,01_particle_learning_triplets/05_gluon/01_color_charge_exchange.png,quantum_only,"q -> q + g","Schematic QCD color flow; displayed colors are representational labels.","A quark line changes its color label while a gluon carries a color-anticolor link.",q;arrow;plus,"[[0.15,0.26],[0.31,0.2],[0.47,0.28]]",2,1,1,02_notation_masks/05_gluon__01__notation_mask.png,02_notation_masks/05_gluon__01__relation_mask.png,02_notation_masks/05_gluon__01__carrier_field.png
10,5,Gluon.png,Gluon / גלואון,2,02_confining_flux_tube.png,01_particle_learning_triplets/05_gluon/02_confining_flux_tube.png,introductory_quantum_field_bridge,"V(r) approximately kappa r at large r","Qualitative long-distance confinement model, not a universal all-distance potential.","A narrowing flux tube links separating color sources as stored field energy increases.",V;equals;r,"[[0.162,0.26],[0.322,0.2],[0.482,0.28]]",2;6,1,1,02_notation_masks/05_gluon__02__notation_mask.png,02_notation_masks/05_gluon__02__relation_mask.png,02_notation_masks/05_gluon__02__carrier_field.png
11,6,Proton.png,Proton / פרוטון,1,01_positive_charge_far_field.png,01_particle_learning_triplets/06_proton/01_positive_charge_far_field.png,classical_far_field_bridge,"E(r) = e r_hat / (4 pi epsilon_0 r^2)","Far-field classical approximation; does not depict proton internal structure.","A radial electric field surrounds a localized positive source.",E;equals;e,"[[0.174,0.26],[0.334,0.2],[0.494,0.28]]",1;7,1,1,02_notation_masks/06_proton__01__notation_mask.png,02_notation_masks/06_proton__01__relation_mask.png,02_notation_masks/06_proton__01__carrier_field.png
12,6,Proton.png,Proton / פרוטון,2,02_uud_charge_bookkeeping.png,01_particle_learning_triplets/06_proton/02_uud_charge_bookkeeping.png,foundational_quantum_composition,"2/3 + 2/3 - 1/3 = +1","Valence-quark charge bookkeeping.","A triangular uud composition closes to one positive elementary charge.",plus;minus;equals,"[[0.186,0.26],[0.346,0.2],[0.506,0.28]]",6,1,1,02_notation_masks/06_proton__02__notation_mask.png,02_notation_masks/06_proton__02__relation_mask.png,02_notation_masks/06_proton__02__carrier_field.png
13,7,Neutron.png,Neutron / נייטרון,1,01_udd_neutral_charge_bookkeeping.png,01_particle_learning_triplets/07_neutron/01_udd_neutral_charge_bookkeeping.png,foundational_quantum_composition,"2/3 - 1/3 - 1/3 = 0","Electrical neutrality does not mean absence of internal charged constituents.","A triangular udd composition closes to zero net charge.",minus;equals;q,"[[0.15,0.26],[0.31,0.2],[0.47,0.28]]",6,1,1,02_notation_masks/07_neutron__01__notation_mask.png,02_notation_masks/07_neutron__01__relation_mask.png,02_notation_masks/07_neutron__01__carrier_field.png
14,7,Neutron.png,Neutron / נייטרון,2,02_free_neutron_beta_decay.png,01_particle_learning_triplets/07_neutron/02_free_neutron_beta_decay.png,quantum_weak_process,"n -> p + e^- + anti-nu_e","Free-neutron beta decay; a neutron bound in a stable nucleus is not treated as freely decaying.","A free neutron transforms into a proton, electron, and electron antineutrino.",N;arrow;plus,"[[0.162,0.26],[0.322,0.2],[0.482,0.28]]",3;9,1,1,02_notation_masks/07_neutron__02__notation_mask.png,02_notation_masks/07_neutron__02__relation_mask.png,02_notation_masks/07_neutron__02__carrier_field.png
15,8,WeakBosons.png,Weak bosons / בוזונים חלשים,1,01_weak_mediator_family.png,01_particle_learning_triplets/08_weak_bosons/01_weak_mediator_family.png,foundational_quantum_identity,"Q(W+) = +e; Q(W-) = -e; Q(Z0) = 0","Massive electroweak gauge bosons; no classical force-particle trajectory claim.","Three linked mediator nodes show W+, W-, and Z0 with distinct charge labels.",W;plus;minus,"[[0.174,0.26],[0.334,0.2],[0.494,0.28]]",3,1,1,02_notation_masks/08_weak_bosons__01__notation_mask.png,02_notation_masks/08_weak_bosons__01__relation_mask.png,02_notation_masks/08_weak_bosons__01__carrier_field.png
16,8,WeakBosons.png,Weak bosons / בוזונים חלשים,2,02_beta_decay_weak_vertex_chain.png,01_particle_learning_triplets/08_weak_bosons/02_beta_decay_weak_vertex_chain.png,quantum_weak_process,"d -> u + W^-; W^- -> e^- + anti-nu_e","Schematic interaction bookkeeping, not a resolved classical time sequence.","Two linked vertices connect a down quark to an up quark and a W- decay pair.",W;arrow;e,"[[0.186,0.26],[0.346,0.2],[0.506,0.28]]",3;9,1,1,02_notation_masks/08_weak_bosons__02__notation_mask.png,02_notation_masks/08_weak_bosons__02__relation_mask.png,02_notation_masks/08_weak_bosons__02__carrier_field.png
17,9,HiggsBoson.png,Higgs boson / בוזון היגס,1,01_higgs_scalar_field_potential.png,01_particle_learning_triplets/09_higgs_boson/01_higgs_scalar_field_potential.png,classical_field_bridge_to_quantum_theory,"V(phi) = -mu^2 |phi|^2 + lambda |phi|^4","Schematic Higgs-potential convention; parameters and normalization are stated.","A symmetric scalar-field potential marks a vacuum ring and radial excitation direction.",V;phi;mu,"[[0.15,0.26],[0.31,0.2],[0.47,0.28]]",4,1,1,02_notation_masks/09_higgs_boson__01__notation_mask.png,02_notation_masks/09_higgs_boson__01__relation_mask.png,02_notation_masks/09_higgs_boson__01__carrier_field.png
