domain,slug,title,formula,meaning
"01_Calculus1","01_limit_as_approach","01. Limit as approach","lim_{x->0} sin(x)/x = 1","Visual: two sides approach one white anchor. Math: limit is an approach value."
"01_Calculus1","02_derivative_local_slope","02. Derivative as local slope","f'(a) = instantaneous slope at x=a","Visual: white point plus amber tangent. Math: derivative is slope at that point."
"01_Calculus1","03_integral_area","03. Definite integral as area","Integral_a^b f(x) dx = signed area under curve","Visual: yellow mass under curve. Math: integral accumulates area."
"01_Calculus1","04_gradient_descent_surface","04. Gradient descent as walking downhill","new point = old point - eta * gradient f","Visual: cyan path falls into white center. Math: subtract gradient to reduce f."
"02_LinearAlgebra","01_vector_addition","05. Vector addition","u + v = diagonal of the parallelogram","Visual: cyan then pink equals amber diagonal. Math: component-wise addition."
"02_LinearAlgebra","02_rotation_matrix","06. Rotation matrix","R(theta) = [cos theta -sin theta; sin theta cos theta]","Visual: square turns without stretching. Math: rotation matrix preserves lengths."
"02_LinearAlgebra","03_projection_shadow","07. Projection as shadow","proj_u(v) = (v dot u)/(u dot u) * u","Visual: white drop creates amber shadow. Math: dot product gives projected length."
"02_LinearAlgebra","04_eigen_direction","08. Eigenvector as direction that stays itself","A v = lambda v","Visual: highlighted directions keep their line. Math: Av equals lambda times v."
"03_Physics_Mechanics","01_projectile_motion","09. Projectile motion","y(t)=y0+v0y*t - (1/2)g*t^2","Visual: arc plus downward force. Math: y has a negative t^2 term because of gravity."
"03_Physics_Mechanics","02_velocity_acceleration","10. Position, velocity, acceleration","v = dx/dt,  a = dv/dt","Visual: three linked waves. Math: derivative turns position into velocity, velocity into acceleration."
"03_Physics_Mechanics","03_energy_exchange","11. Energy exchange","E = K + U","Visual: amber and cyan exchange. Math: K plus U equals total E."
"03_Physics_Mechanics","04_harmonic_motion","12. Harmonic motion","x(t)=A sin(omega t + phi)","Visual: same wave shifted. Math: phase moves the wave without changing its shape."
"04_Physics_EM","01_coulomb_field","13. Electric field of one charge","E = k q r_hat / r^2","Visual: field radiates outward. Math: inverse-square field from a charge."
"04_Physics_EM","02_electric_dipole","14. Electric dipole","field of +q and -q superposed","Visual: red and blue sources meet. Math: fields add by superposition."
"04_Physics_EM","03_magnetic_wire","15. Magnetic field around a wire","B = mu0 I / (2 pi r)","Visual: concentric circles around current. Math: B decreases like 1/r."
"04_Physics_EM","04_lorentz_force","16. Lorentz force","F = q (v x B)","Visual: cyan velocity and amber force meet at the charge. Math: cross product gives perpendicular force."
