id,slug,title,formula,condition,definition,image_file,human_notation_rendered
1,nambu_goto_action,Area law: Nambu-Goto action,"$S_{NG}=-T\int d\tau\,d\sigma\,\sqrt{-\det\gamma_{ab}}$","$\gamma_{ab}=\partial_aX^\mu\partial_bX_\mu$",The classical string minimizes worldsheet area.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/02_basic_laws/01_nambu_goto_action.png,1
2,polyakov_action,Polyakov action,"$S_P=-\frac{T}{2}\int d^2\sigma\sqrt{-h}\,h^{ab}\partial_aX^\mu\partial_bX_\mu$","$h_{ab}$ is an auxiliary worldsheet metric.",A classically equivalent form exposes worldsheet symmetries.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/02_basic_laws/02_polyakov_action.png,1
3,wave_equation,Worldsheet wave equation,"$(\partial_\tau^2-\partial_\sigma^2)X^\mu=0$","conformal gauge",Left- and right-moving waves carry the string motion.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/02_basic_laws/03_wave_equation.png,1
4,open_boundaries,Open-string boundary law,"$\partial_\sigma X^a=0\ \mathrm{(N)},\quad\delta X^i=0\ \mathrm{(D)}$","$\sigma=0,\pi$",Endpoints obey Neumann or Dirichlet conditions.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/02_basic_laws/04_open_boundaries.png,1
5,closed_periodicity,Closed-string periodicity,"$X^\mu(\tau,\sigma+2\pi)=X^\mu(\tau,\sigma)$","$\sigma\sim\sigma+2\pi$",Closed-string fields repeat around the loop.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/02_basic_laws/05_closed_periodicity.png,1
6,mode_expansion,Discrete mode expansion,"$X(\tau,\sigma)=x_0+\sum_{n\neq0}X_n(\tau)e^{in\sigma}$","$n\in\mathbb{Z}$",Boundary conditions select discrete harmonics.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/02_basic_laws/06_mode_expansion.png,1
7,tension_energy,Tension-energy relation,"$E=T\,L,\qquad T=\frac{1}{2\pi\alpha'}$","static straight string",Longer string segments carry proportionally more energy.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/02_basic_laws/07_tension_energy.png,1
8,oscillator_quantization,Oscillator quantization,"$N=\sum_{n>0}\alpha_{-n}\!\cdot\!\alpha_n$","$N=0,1,2,\ldots$",Quantized oscillators organize excitation levels.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/02_basic_laws/08_oscillator_quantization.png,1
9,bosonic_mass_shell,Bosonic mass levels,"$\alpha'M^2=N-1\ \mathrm{(open)}$","$\alpha'M^2=4(N-1),\ N=\widetilde N\ \mathrm{(closed)}$",The intercept and factors depend on the string model and convention.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/02_basic_laws/09_bosonic_mass_shell.png,1
10,t_duality_invariance,T-duality of compact modes,"$M_{n,w}^2\supset(n/R)^2+(wR/\alpha')^2$","$R\leftrightarrow\alpha'/R,\ n\leftrightarrow w$",The momentum-winding contribution is invariant.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/02_basic_laws/10_t_duality_invariance.png,1
11,d_brane_endpoints,D-brane endpoint law,"$\partial_\sigma X^a=0,\quad X^i=y^i$","$a\parallel Dp,\ i\perp Dp$",Endpoints move along a brane but are fixed transversely.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/02_basic_laws/11_d_brane_endpoints.png,1
12,genus_coupling,Interaction topology and coupling,"$\mathcal{A}_g\propto g_s^{\,2g-2}$","$g=0,1,2,\ldots$",Each additional handle changes perturbative order.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/02_basic_laws/12_genus_coupling.png,1
